date,store,category,item,sales,theft_event,theft_qty,stock
2024-03-20,Store A,Electronics,Smartphone,6,False,0,256
2024-03-21,Store A,Electronics,Smartphone,4,False,0,252
2024-03-22,Store A,Electronics,Smartphone,2,False,0,250
2024-03-23,Store A,Electronics,Smartphone,2,False,0,248
2024-03-24,Store A,Electronics,Smartphone,6,False,0,242
2024-03-25,Store A,Electronics,Smartphone,2,False,0,240
2024-03-26,Store A,Electronics,Smartphone,6,False,0,234
2024-03-27,Store A,Electronics,Smartphone,8,False,0,226
2024-03-28,Store A,Electronics,Smartphone,3,False,0,223
2024-03-29,Store A,Electronics,Smartphone,5,False,0,218
2024-03-30,Store A,Electronics,Smartphone,3,False,0,215
2024-03-31,Store A,Electronics,Smartphone,2,False,0,213
2024-01-01,Store A,Electronics,Tablet,6,False,0,494
2024-01-02,Store A,Electronics,Tablet,1,False,0,493
2024-01-03,Store A,Electronics,Tablet,4,False,0,489
2024-01-04,Store A,Electronics,Tablet,3,False,0,486
2024-01-05,Store A,Electronics,Tablet,3,False,0,483
2024-01-06,Store A,Electronics,Tablet,3,False,0,480
2024-01-07,Store A,Electronics,Tablet,1,False,0,479
2024-01-08,Store A,Electronics,Tablet,3,False,0,476
2024-01-09,Store A,Electronics,Tablet,2,False,0,474
2024-01-10,Store A,Electronics,Tablet,3,False,0,471
2024-01-11,Store A,Electronics,Tablet,4,False,0,467
2024-01-12,Store A,Electronics,Tablet,2,False,0,465
2024-01-13,Store A,Electronics,Tablet,5,False,0,460
2024-01-14,Store A,Electronics,Tablet,1,False,0,459
2024-01-15,Store A,Electronics,Tablet,0,False,0,459
2024-01-16,Store A,Electronics,Tablet,7,False,0,452
2024-01-17,Store A,Electronics,Tablet,2,False,0,450
2024-01-18,Store A,Electronics,Tablet,2,False,0,448
2024-01-19,Store A,Electronics,Tablet,0,False,0,448
2024-01-20,Store A,Electronics,Tablet,5,False,0,443
2024-01-21,Store A,Electronics,Tablet,5,False,0,438
2024-01-22,Store A,Electronics,Tablet,5,False,0,433
2024-01-23,Store A,Electronics,Tablet,4,False,0,429
2024-01-24,Store A,Electronics,Tablet,4,False,0,425
2024-01-25,Store A,Electronics,Tablet,2,False,0,423
2024-01-26,Store A,Electronics,Tablet,3,False,0,420
2024-01-27,Store A,Electronics,Tablet,3,False,0,417
2024-01-28,Store A,Electronics,Tablet,5,False,0,412
2024-01-29,Store A,Electronics,Tablet,0,False,0,412
2024-01-30,Store A,Electronics,Tablet,3,False,0,409
2024-01-31,Store A,Electronics,Tablet,1,False,0,408
2024-02-01,Store A,Electronics,Tablet,3,False,0,405
2024-02-02,Store A,Electronics,Tablet,2,True,1,402
2024-02-03,Store A,Electronics,Tablet,3,False,0,399
2024-02-04,Store A,Electronics,Tablet,1,False,0,398
2024-02-05,Store A,Electronics,Tablet,4,False,0,394
2024-02-06,Store A,Electronics,Tablet,2,False,0,392
2024-02-07,Store A,Electronics,Tablet,0,False,0,392
2024-02-08,Store A,Electronics,Tablet,2,False,0,390
2024-02-09,Store A,Electronics,Tablet,4,False,0,386
2024-02-10,Store A,Electronics,Tablet,3,False,0,383
2024-02-11,Store A,Electronics,Tablet,3,True,1,379
2024-02-12,Store A,Electronics,Tablet,1,False,0,378
2024-02-13,Store A,Electronics,Tablet,3,False,0,375
2024-02-14,Store A,Electronics,Tablet,1,False,0,374
2024-02-15,Store A,Electronics,Tablet,0,False,0,374
2024-02-16,Store A,Electronics,Tablet,4,True,2,368
2024-02-17,Store A,Electronics,Tablet,4,False,0,364
2024-02-18,Store A,Electronics,Tablet,2,False,0,362
2024-02-19,Store A,Electronics,Tablet,2,False,0,360
2024-02-20,Store A,Electronics,Tablet,2,False,0,358
2024-02-21,Store A,Electronics,Tablet,1,False,0,357
2024-02-22,Store A,Electronics,Tablet,1,True,1,355
2024-02-23,Store A,Electronics,Tablet,2,False,0,353
2024-02-24,Store A,Electronics,Tablet,2,False,0,351
2024-02-25,Store A,Electronics,Tablet,3,True,1,347
2024-02-26,Store A,Electronics,Tablet,2,False,0,345
2024-02-27,Store A,Electronics,Tablet,4,False,0,341
2024-02-28,Store A,Electronics,Tablet,3,False,0,338
2024-02-29,Store A,Electronics,Tablet,4,False,0,334
2024-03-01,Store A,Electronics,Tablet,3,False,0,331
2024-03-02,Store A,Electronics,Tablet,4,True,1,326
2024-03-03,Store A,Electronics,Tablet,4,False,0,322
2024-03-04,Store A,Electronics,Tablet,5,False,0,317
2024-03-05,Store A,Electronics,Tablet,3,False,0,314
2024-03-06,Store A,Electronics,Tablet,4,False,0,310
2024-03-07,Store A,Electronics,Tablet,2,False,0,308
2024-03-08,Store A,Electronics,Tablet,6,False,0,302
2024-03-09,Store A,Electronics,Tablet,3,False,0,299
2024-03-10,Store A,Electronics,Tablet,3,False,0,296
2024-03-11,Store A,Electronics,Tablet,1,False,0,295
2024-03-12,Store A,Electronics,Tablet,2,False,0,293
2024-03-13,Store A,Electronics,Tablet,3,False,0,290
2024-03-14,Store A,Electronics,Tablet,1,False,0,289
2024-03-15,Store A,Electronics,Tablet,2,False,0,287
2024-03-16,Store A,Electronics,Tablet,3,False,0,284
2024-03-17,Store A,Electronics,Tablet,1,False,0,283
2024-03-18,Store A,Electronics,Tablet,5,False,0,278
2024-03-19,Store A,Electronics,Tablet,2,False,0,276
2024-03-20,Store A,Electronics,Tablet,3,False,0,273
2024-03-21,Store A,Electronics,Tablet,6,False,0,267
2024-03-22,Store A,Electronics,Tablet,3,False,0,264
2024-03-23,Store A,Electronics,Tablet,5,False,0,259
2024-03-24,Store A,Electronics,Tablet,5,False,0,254
2024-03-25,Store A,Electronics,Tablet,2,False,0,252
2024-03-26,Store A,Electronics,Tablet,7,False,0,245
2024-03-27,Store A,Electronics,Tablet,5,False,0,240
2024-03-28,Store A,Electronics,Tablet,6,False,0,234
2024-03-29,Store A,Electronics,Tablet,1,False,0,233
2024-03-30,Store A,Electronics,Tablet,4,False,0,229
2024-03-31,Store A,Electronics,Tablet,5,False,0,224
2024-01-01,Store A,Electronics,Laptop,4,True,2,494
2024-01-02,Store A,Electronics,Laptop,4,False,0,490
2024-01-03,Store A,Electronics,Laptop,0,False,0,490
2024-01-04,Store A,Electronics,Laptop,3,False,0,487
2024-01-05,Store A,Electronics,Laptop,3,False,0,484
2024-01-06,Store A,Electronics,Laptop,3,False,0,481
2024-01-07,Store A,Electronics,Laptop,3,False,0,478
2024-01-08,Store A,Electronics,Laptop,5,False,0,473
2024-01-09,Store A,Electronics,Laptop,3,False,0,470
2024-01-10,Store A,Electronics,Laptop,2,False,0,468
2024-01-11,Store A,Electronics,Laptop,2,False,0,466
2024-01-12,Store A,Electronics,Laptop,5,False,0,461
2024-01-13,Store A,Electronics,Laptop,0,False,0,461
2024-01-14,Store A,Electronics,Laptop,1,False,0,460
2024-01-15,Store A,Electronics,Laptop,3,False,0,457
2024-01-16,Store A,Electronics,Laptop,4,False,0,453
2024-01-17,Store A,Electronics,Laptop,4,False,0,449
2024-01-18,Store A,Electronics,Laptop,4,False,0,445
2024-01-19,Store A,Electronics,Laptop,7,False,0,438
2024-01-20,Store A,Electronics,Laptop,2,False,0,436
2024-01-21,Store A,Electronics,Laptop,4,False,0,432
2024-01-22,Store A,Electronics,Laptop,7,False,0,425
2024-01-23,Store A,Electronics,Laptop,0,False,0,425
2024-01-24,Store A,Electronics,Laptop,1,False,0,424
2024-01-25,Store A,Electronics,Laptop,3,False,0,421
2024-01-26,Store A,Electronics,Laptop,5,False,0,416
2024-01-27,Store A,Electronics,Laptop,0,False,0,416
2024-01-28,Store A,Electronics,Laptop,0,False,0,416
2024-01-29,Store A,Electronics,Laptop,6,False,0,410
2024-01-30,Store A,Electronics,Laptop,7,False,0,403
2024-01-31,Store A,Electronics,Laptop,2,False,0,401
2024-02-01,Store A,Electronics,Laptop,0,False,0,401
2024-02-02,Store A,Electronics,Laptop,4,True,1,396
2024-02-03,Store A,Electronics,Laptop,8,False,0,388
2024-02-04,Store A,Electronics,Laptop,3,False,0,385
2024-02-05,Store A,Electronics,Laptop,1,True,2,382
2024-02-06,Store A,Electronics,Laptop,1,True,1,380
2024-02-07,Store A,Electronics,Laptop,3,False,0,377
2024-02-08,Store A,Electronics,Laptop,6,False,0,371
2024-02-09,Store A,Electronics,Laptop,3,False,0,368
2024-02-10,Store A,Electronics,Laptop,0,False,0,368
2024-02-11,Store A,Electronics,Laptop,0,False,0,368
2024-02-12,Store A,Electronics,Laptop,3,False,0,365
2024-02-13,Store A,Electronics,Laptop,1,False,0,364
2024-02-14,Store A,Electronics,Laptop,4,False,0,360
2024-02-15,Store A,Electronics,Laptop,7,False,0,353
2024-02-16,Store A,Electronics,Laptop,1,False,0,352
2024-02-17,Store A,Electronics,Laptop,3,False,0,349
2024-02-18,Store A,Electronics,Laptop,5,False,0,344
2024-02-19,Store A,Electronics,Laptop,2,False,0,342
2024-02-20,Store A,Electronics,Laptop,2,False,0,340
2024-02-21,Store A,Electronics,Laptop,2,False,0,338
2024-02-22,Store A,Electronics,Laptop,0,False,0,338
2024-02-23,Store A,Electronics,Laptop,1,False,0,337
2024-02-24,Store A,Electronics,Laptop,3,False,0,334
2024-02-25,Store A,Electronics,Laptop,4,False,0,330
2024-02-26,Store A,Electronics,Laptop,2,False,0,328
2024-02-27,Store A,Electronics,Laptop,6,False,0,322
2024-02-28,Store A,Electronics,Laptop,4,False,0,318
2024-02-29,Store A,Electronics,Laptop,2,False,0,316
2024-03-01,Store A,Electronics,Laptop,5,False,0,311
2024-03-02,Store A,Electronics,Laptop,2,False,0,309
2024-03-03,Store A,Electronics,Laptop,6,False,0,303
2024-03-04,Store A,Electronics,Laptop,5,False,0,298
2024-03-05,Store A,Electronics,Laptop,1,False,0,297
2024-03-06,Store A,Electronics,Laptop,2,False,0,295
2024-03-07,Store A,Electronics,Laptop,4,False,0,291
2024-03-08,Store A,Electronics,Laptop,0,False,0,291
2024-03-09,Store A,Electronics,Laptop,3,False,0,288
2024-03-10,Store A,Electronics,Laptop,5,False,0,283
2024-03-11,Store A,Electronics,Laptop,9,False,0,274
2024-03-12,Store A,Electronics,Laptop,2,False,0,272
2024-03-13,Store A,Electronics,Laptop,4,False,0,268
2024-03-14,Store A,Electronics,Laptop,3,False,0,265
2024-03-15,Store A,Electronics,Laptop,4,False,0,261
2024-03-16,Store A,Electronics,Laptop,4,False,0,257
2024-03-17,Store A,Electronics,Laptop,6,False,0,251
2024-03-18,Store A,Electronics,Laptop,4,False,0,247
2024-03-19,Store A,Electronics,Laptop,5,False,0,242
2024-03-20,Store A,Electronics,Laptop,4,False,0,238
2024-03-21,Store A,Electronics,Laptop,0,False,0,238
2024-03-22,Store A,Electronics,Laptop,3,False,0,235
2024-03-23,Store A,Electronics,Laptop,2,False,0,233
2024-03-24,Store A,Electronics,Laptop,4,False,0,229
2024-03-25,Store A,Electronics,Laptop,5,False,0,224
2024-03-26,Store A,Electronics,Laptop,6,False,0,218
2024-03-27,Store A,Electronics,Laptop,4,False,0,214
2024-03-28,Store A,Electronics,Laptop,4,False,0,210
2024-03-29,Store A,Electronics,Laptop,1,False,0,209
2024-03-30,Store A,Electronics,Laptop,2,False,0,207
2024-03-31,Store A,Electronics,Laptop,3,False,0,204
2024-01-01,Store A,Electronics,Gaming Console,3,False,0,497
2024-01-02,Store A,Electronics,Gaming Console,3,False,0,494
2024-01-03,Store A,Electronics,Gaming Console,4,False,0,490
2024-01-04,Store A,Electronics,Gaming Console,5,False,0,485
2024-01-05,Store A,Electronics,Gaming Console,2,True,1,482
2024-01-06,Store A,Electronics,Gaming Console,2,False,0,480
2024-01-07,Store A,Electronics,Gaming Console,4,False,0,476
2024-01-08,Store A,Electronics,Gaming Console,2,True,2,472
2024-01-09,Store A,Electronics,Gaming Console,4,False,0,468
2024-01-10,Store A,Electronics,Gaming Console,1,False,0,467
2024-01-11,Store A,Electronics,Gaming Console,3,False,0,464
2024-01-12,Store A,Electronics,Gaming Console,1,True,1,462
2024-01-13,Store A,Electronics,Gaming Console,8,True,2,452
2024-01-14,Store A,Electronics,Gaming Console,7,False,0,445
2024-01-15,Store A,Electronics,Gaming Console,4,False,0,441
2024-01-16,Store A,Electronics,Gaming Console,4,False,0,437
2024-01-17,Store A,Electronics,Gaming Console,4,False,0,433
2024-01-18,Store A,Electronics,Gaming Console,4,False,0,429
2024-01-19,Store A,Electronics,Gaming Console,3,False,0,426
2024-01-20,Store A,Electronics,Gaming Console,3,False,0,423
2024-01-21,Store A,Electronics,Gaming Console,5,False,0,418
2024-01-22,Store A,Electronics,Gaming Console,2,False,0,416
2024-01-23,Store A,Electronics,Gaming Console,6,True,2,408
2024-01-24,Store A,Electronics,Gaming Console,3,False,0,405
2024-01-25,Store A,Electronics,Gaming Console,2,False,0,403
2024-01-26,Store A,Electronics,Gaming Console,5,False,0,398
2024-01-27,Store A,Electronics,Gaming Console,1,False,0,397
2024-01-28,Store A,Electronics,Gaming Console,3,False,0,394
2024-01-29,Store A,Electronics,Gaming Console,5,False,0,389
2024-01-30,Store A,Electronics,Gaming Console,5,False,0,384
2024-01-31,Store A,Electronics,Gaming Console,4,False,0,380
2024-02-01,Store A,Electronics,Gaming Console,4,False,0,376
2024-02-02,Store A,Electronics,Gaming Console,2,False,0,374
2024-02-03,Store A,Electronics,Gaming Console,2,False,0,372
2024-02-04,Store A,Electronics,Gaming Console,3,False,0,369
2024-02-05,Store A,Electronics,Gaming Console,3,False,0,366
2024-02-06,Store A,Electronics,Gaming Console,5,False,0,361
2024-02-07,Store A,Electronics,Gaming Console,3,False,0,358
2024-02-08,Store A,Electronics,Gaming Console,3,False,0,355
2024-02-09,Store A,Electronics,Gaming Console,1,False,0,354
2024-02-10,Store A,Electronics,Gaming Console,5,False,0,349
2024-02-11,Store A,Electronics,Gaming Console,6,False,0,343
2024-02-12,Store A,Electronics,Gaming Console,4,False,0,339
2024-02-13,Store A,Electronics,Gaming Console,1,False,0,338
2024-02-14,Store A,Electronics,Gaming Console,4,False,0,334
2024-02-15,Store A,Electronics,Gaming Console,5,False,0,329
2024-02-16,Store A,Electronics,Gaming Console,2,False,0,327
2024-02-17,Store A,Electronics,Gaming Console,2,False,0,325
2024-02-18,Store A,Electronics,Gaming Console,2,True,1,322
2024-02-19,Store A,Electronics,Gaming Console,5,False,0,317
2024-02-20,Store A,Electronics,Gaming Console,4,False,0,313
2024-02-21,Store A,Electronics,Gaming Console,4,False,0,309
2024-02-22,Store A,Electronics,Gaming Console,2,False,0,307
2024-02-23,Store A,Electronics,Gaming Console,5,False,0,302
2024-02-24,Store A,Electronics,Gaming Console,4,True,2,296
2024-02-25,Store A,Electronics,Gaming Console,2,False,0,294
2024-02-26,Store A,Electronics,Gaming Console,4,False,0,290
2024-02-27,Store A,Electronics,Gaming Console,2,False,0,288
2024-02-28,Store A,Electronics,Gaming Console,3,False,0,285
2024-02-29,Store A,Electronics,Gaming Console,2,True,1,282
2024-03-01,Store A,Electronics,Gaming Console,3,False,0,279
2024-03-02,Store A,Electronics,Gaming Console,2,False,0,277
2024-03-03,Store A,Electronics,Gaming Console,3,False,0,274
2024-03-04,Store A,Electronics,Gaming Console,5,False,0,269
2024-03-05,Store A,Electronics,Gaming Console,3,False,0,266
2024-03-06,Store A,Electronics,Gaming Console,2,False,0,264
2024-03-07,Store A,Electronics,Gaming Console,4,False,0,260
2024-03-08,Store A,Electronics,Gaming Console,3,False,0,257
2024-03-09,Store A,Electronics,Gaming Console,3,False,0,254
2024-03-10,Store A,Electronics,Gaming Console,1,False,0,253
2024-03-11,Store A,Electronics,Gaming Console,5,True,1,247
2024-03-12,Store A,Electronics,Gaming Console,5,False,0,242
2024-03-13,Store A,Electronics,Gaming Console,0,False,0,242
2024-03-14,Store A,Electronics,Gaming Console,6,False,0,236
2024-03-15,Store A,Electronics,Gaming Console,3,False,0,233
2024-03-16,Store A,Electronics,Gaming Console,2,False,0,231
2024-03-17,Store A,Electronics,Gaming Console,0,True,1,230
2024-03-18,Store A,Electronics,Gaming Console,6,False,0,224
2024-03-19,Store A,Electronics,Gaming Console,2,False,0,222
2024-03-20,Store A,Electronics,Gaming Console,1,False,0,221
2024-03-21,Store A,Electronics,Gaming Console,4,False,0,217
2024-03-22,Store A,Electronics,Gaming Console,1,True,1,215
2024-03-23,Store A,Electronics,Gaming Console,0,True,1,214
2024-03-24,Store A,Electronics,Gaming Console,2,False,0,212
2024-03-25,Store A,Electronics,Gaming Console,3,False,0,209
2024-03-26,Store A,Electronics,Gaming Console,2,False,0,207
2024-03-27,Store A,Electronics,Gaming Console,2,False,0,205
2024-03-28,Store A,Electronics,Gaming Console,3,True,2,200
2024-03-29,Store A,Electronics,Gaming Console,6,False,0,194
2024-03-30,Store A,Electronics,Gaming Console,4,True,2,188
2024-03-31,Store A,Electronics,Gaming Console,2,False,0,186
2024-01-01,Store A,Electronics,Headphones,2,False,0,498
2024-01-02,Store A,Electronics,Headphones,4,False,0,494
2024-01-03,Store A,Electronics,Headphones,1,False,0,493
2024-01-04,Store A,Electronics,Headphones,3,False,0,490
2024-01-05,Store A,Electronics,Headphones,3,False,0,487
2024-01-06,Store A,Electronics,Headphones,6,False,0,481
2024-01-07,Store A,Electronics,Headphones,4,False,0,477
2024-01-08,Store A,Electronics,Headphones,6,False,0,471
2024-01-09,Store A,Electronics,Headphones,3,False,0,468
2024-01-10,Store A,Electronics,Headphones,0,False,0,468
2024-01-11,Store A,Electronics,Headphones,0,False,0,468
2024-01-12,Store A,Electronics,Headphones,2,False,0,466
2024-01-13,Store A,Electronics,Headphones,2,False,0,464
2024-01-14,Store A,Electronics,Headphones,1,False,0,463
2024-01-15,Store A,Electronics,Headphones,2,False,0,461
2024-01-16,Store A,Electronics,Headphones,3,True,1,457
2024-01-17,Store A,Electronics,Headphones,3,False,0,454
2024-01-18,Store A,Electronics,Headphones,1,False,0,453
2024-01-19,Store A,Electronics,Headphones,8,False,0,445
2024-01-20,Store A,Electronics,Headphones,4,False,0,441
2024-01-21,Store A,Electronics,Headphones,1,False,0,440
2024-01-22,Store A,Electronics,Headphones,3,True,2,435
2024-01-23,Store A,Electronics,Headphones,3,False,0,432
2024-01-24,Store A,Electronics,Headphones,4,False,0,428
2024-01-25,Store A,Electronics,Headphones,2,False,0,426
2024-01-26,Store A,Electronics,Headphones,1,False,0,425
2024-01-27,Store A,Electronics,Headphones,2,False,0,423
2024-01-28,Store A,Electronics,Headphones,0,False,0,423
2024-01-29,Store A,Electronics,Headphones,4,False,0,419
2024-01-30,Store A,Electronics,Headphones,2,False,0,417
2024-01-31,Store A,Electronics,Headphones,0,False,0,417
2024-02-01,Store A,Electronics,Headphones,3,False,0,414
2024-02-02,Store A,Electronics,Headphones,3,False,0,411
2024-02-03,Store A,Electronics,Headphones,6,False,0,405
2024-02-04,Store A,Electronics,Headphones,2,True,2,401
2024-02-05,Store A,Electronics,Headphones,1,False,0,400
2024-02-06,Store A,Electronics,Headphones,2,False,0,398
2024-02-07,Store A,Electronics,Headphones,3,False,0,395
2024-02-08,Store A,Electronics,Headphones,2,False,0,393
2024-02-09,Store A,Electronics,Headphones,4,False,0,389
2024-02-10,Store A,Electronics,Headphones,3,False,0,386
2024-02-11,Store A,Electronics,Headphones,2,False,0,384
2024-02-12,Store A,Electronics,Headphones,2,False,0,382
2024-02-13,Store A,Electronics,Headphones,6,False,0,376
2024-02-14,Store A,Electronics,Headphones,2,False,0,374
2024-02-15,Store A,Electronics,Headphones,4,False,0,370
2024-02-16,Store A,Electronics,Headphones,4,False,0,366
2024-02-17,Store A,Electronics,Headphones,5,False,0,361
2024-02-18,Store A,Electronics,Headphones,3,False,0,358
2024-02-19,Store A,Electronics,Headphones,4,False,0,354
2024-02-20,Store A,Electronics,Headphones,3,False,0,351
2024-02-21,Store A,Electronics,Headphones,2,False,0,349
2024-02-22,Store A,Electronics,Headphones,6,False,0,343
2024-02-23,Store A,Electronics,Headphones,2,False,0,341
2024-02-24,Store A,Electronics,Headphones,3,False,0,338
2024-02-25,Store A,Electronics,Headphones,5,False,0,333
2024-02-26,Store A,Electronics,Headphones,5,False,0,328
2024-02-27,Store A,Electronics,Headphones,3,False,0,325
2024-02-28,Store A,Electronics,Headphones,4,False,0,321
2024-02-29,Store A,Electronics,Headphones,4,False,0,317
2024-03-01,Store A,Electronics,Headphones,2,False,0,315
2024-03-02,Store A,Electronics,Headphones,3,False,0,312
2024-03-03,Store A,Electronics,Headphones,3,False,0,309
2024-03-04,Store A,Electronics,Headphones,7,False,0,302
2024-03-05,Store A,Electronics,Headphones,2,False,0,300
2024-03-06,Store A,Electronics,Headphones,5,False,0,295
2024-03-07,Store A,Electronics,Headphones,0,False,0,295
2024-03-08,Store A,Electronics,Headphones,5,False,0,290
2024-03-09,Store A,Electronics,Headphones,0,True,1,289
2024-03-10,Store A,Electronics,Headphones,5,False,0,284
2024-03-11,Store A,Electronics,Headphones,1,False,0,283
2024-03-12,Store A,Electronics,Headphones,3,False,0,280
2024-03-13,Store A,Electronics,Headphones,2,False,0,278
2024-03-14,Store A,Electronics,Headphones,5,False,0,273
2024-03-15,Store A,Electronics,Headphones,2,False,0,271
2024-03-16,Store A,Electronics,Headphones,3,False,0,268
2024-03-17,Store A,Electronics,Headphones,2,False,0,266
2024-03-18,Store A,Electronics,Headphones,2,False,0,264
2024-03-19,Store A,Electronics,Headphones,2,False,0,262
2024-03-20,Store A,Electronics,Headphones,2,True,2,258
2024-03-21,Store A,Electronics,Headphones,4,False,0,254
2024-03-22,Store A,Electronics,Headphones,6,False,0,248
2024-03-23,Store A,Electronics,Headphones,2,False,0,246
2024-03-24,Store A,Electronics,Headphones,1,True,1,244
2024-03-25,Store A,Electronics,Headphones,4,False,0,240
2024-03-26,Store A,Electronics,Headphones,2,False,0,238
2024-03-27,Store A,Electronics,Headphones,3,False,0,235
2024-03-28,Store A,Electronics,Headphones,1,False,0,234
2024-03-29,Store A,Electronics,Headphones,6,False,0,228
2024-03-30,Store A,Electronics,Headphones,0,False,0,228
2024-03-31,Store A,Electronics,Headphones,3,False,0,225
2024-01-01,Store A,Electronics,Smartwatch,3,False,0,497
2024-01-02,Store A,Electronics,Smartwatch,3,False,0,494
2024-01-03,Store A,Electronics,Smartwatch,1,False,0,493
2024-01-04,Store A,Electronics,Smartwatch,4,False,0,489
2024-01-05,Store A,Electronics,Smartwatch,4,False,0,485
2024-01-06,Store A,Electronics,Smartwatch,5,False,0,480
2024-01-07,Store A,Electronics,Smartwatch,1,False,0,479
2024-01-08,Store A,Electronics,Smartwatch,7,False,0,472
2024-01-09,Store A,Electronics,Smartwatch,4,False,0,468
2024-01-10,Store A,Electronics,Smartwatch,1,False,0,467
2024-01-11,Store A,Electronics,Smartwatch,1,False,0,466
2024-01-12,Store A,Electronics,Smartwatch,3,False,0,463
2024-01-13,Store A,Electronics,Smartwatch,2,False,0,461
2024-01-14,Store A,Electronics,Smartwatch,0,False,0,461
2024-01-15,Store A,Electronics,Smartwatch,0,False,0,461
